week.ending, num.props, med.price, avg.price
2009-07-04, 2222, 199679, 224975
2009-07-11, 2164, 198996, 225696
2009-07-18, 2199, 198080, 224247
2009-07-25, 2125, 197759, 223026
2009-08-01, 2123, 195333, 220821
2009-08-08, 2220, 195063, 218944
2009-08-15, 2237, 195613, 217962
2009-08-22, 2224, 197330, 218862
2009-08-29, 2807, 197907, 216580
2009-09-05, 3027, 196985, 214852
2009-09-12, 3036, 197294, 214612
2009-09-19, 2773, 191915, 211185
2009-09-26, 2564, 187823, 208523
2009-10-03, 2810, 194893, 212667
2009-10-10, 2808, 194261, 212701
2009-10-17, 2852, 194982, 214478
2009-10-24, 2790, 195108, 213458
2009-10-31, 2881, 197599, 215128
2009-11-07, 2915, 197113, 215139
2009-11-14, 2916, 197202, 215305
2009-11-21, 2870, 197491, 216292
2009-11-28, 2862, 196787, 215845
2009-12-05, 2838, 197139, 215587
2009-12-12, 2806, 197380, 215254
2009-12-19, 2812, 195629, 214229
2009-12-26, 2800, 196154, 214890
2010-01-02, 2702, 195020, 214335
2010-01-09, 2654, 194879, 214489
2010-01-16, 2694, 194967, 214937
2010-01-23, 2670, 192064, 213960
2010-01-30, 2690, 189500, 210193
2010-02-06, 2745, 186222, 207705
2010-02-13, 2830, 185773, 207518
2010-02-20, 2894, 185308, 207473
2010-02-27, 3031, 184900, 206311
2010-03-06, 3185, 184949, 206368
2010-03-13, 3204, 184922, 206354
2010-03-20, 3211, 185357, 208998
2010-03-27, 2857, 185853, 208656
2010-04-03, 3169, 185408, 208368
2010-04-10, 3117, 185731, 207880
2010-04-17, 3045, 185994, 208861
2010-04-24, 3211, 184957, 208800
2010-05-01, 3252, 184385, 208021
2010-05-08, 3171, 184667, 208077
2010-05-15, 3195, 184906, 209166
2010-05-22, 3195, 184831, 208897
2010-05-29, 3198, 184798, 208813
2010-06-05, 3400, 184630, 207751
2010-06-12, 3356, 184633, 207887
2010-06-19, 3372, 184313, 209799
2010-06-26, 3513, 186006, 212883
2010-07-03, 3509, 186491, 213134
2010-07-10, 3495, 187680, 213100
2010-07-17, 3551, 187608, 212528
2010-07-24, 3406, 184869, 208290
2010-07-31, 3685, 184534, 209317
2010-08-07, 3743, 186263, 209846
2010-08-14, 3666, 184890, 209017
2010-08-21, 3609, 187146, 211015
2010-08-28, 3495, 184927, 208189
2010-09-04, 3511, 184940, 207761
2010-09-11, 3479, 184939, 207652
2010-09-18, 3512, 184796, 207048
2010-09-25, 3518, 184900, 207154
2010-10-02, 3511, 184783, 206624
2010-10-09, 3544, 182701, 206637
2010-10-16, 3533, 184295, 210149
2010-10-23, 3522, 183775, 209570
2010-10-30, 3485, 183260, 209184
2010-11-06, 3436, 183406, 209200
2010-11-13, 3349, 182941, 209655
2010-11-20, 3224, 183084, 207970
2010-11-27, 3371, 182554, 205939
2010-12-04, 3368, 181725, 205783
2010-12-18, 3570, 183004, 206005
2010-12-25, 3535, 183981, 206981
2011-01-01, 3505, 183939, 206763
2011-01-08, 3561, 183584, 208215
2011-01-15, 3554, 182178, 206825
2011-01-22, 3564, 181186, 205258
2011-01-29, 3557, 180844, 205084
2011-02-05, 3583, 180083, 205067
2011-02-12, 3549, 180943, 205903
2011-02-19, 3641, 180087, 205945
2011-02-26, 3604, 180049, 205844
2011-03-05, 3588, 179900, 206085
2011-03-12, 3555, 179900, 206318
2011-03-19, 3579, 179933, 206149
2011-03-26, 3571, 180388, 206864
2011-04-02, 3529, 181362, 207650
2011-04-09, 3549, 182155, 208242
2011-04-16, 3559, 180283, 208002
2011-04-23, 3616, 180311, 207881
2011-04-30, 3646, 181343, 207945
2011-05-07, 3628, 182973, 208778
2011-05-14, 3703, 185283, 211973
2011-05-21, 3686, 186244, 212622
2011-05-28, 3670, 185963, 212287
2011-06-04, 3668, 186184, 212765
2011-06-11, 3671, 185532, 210220
2011-06-18, 3533, 187042, 211830
2011-06-25, 3490, 186633, 211315
2011-07-02, 3588, 185522, 210685
2011-07-09, 3597, 186572, 212449
2011-07-16, 3528, 187689, 213275
2011-07-23, 3521, 187713, 214029
2011-07-30, 3510, 188304, 214794
2011-08-06, 3510, 186251, 213942
2011-08-13, 3578, 185399, 213116
2011-08-20, 3885, 181752, 209352
2011-08-27, 3441, 188265, 215924
2011-09-03, 3379, 186455, 215998
2011-09-10, 3337, 186599, 215881
2011-09-17, 3350, 185553, 215284
2011-09-24, 3341, 185000, 214369
2011-10-01, 3316, 185032, 214054
2011-10-08, 3295, 184999, 213653
2011-10-15, 3275, 185619, 214798
2011-10-22, 3241, 185647, 214789
2011-10-29, 3174, 185365, 213917
2011-11-05, 3076, 186748, 214974